a_exp,t_cou,t_des3,t_fee,p_fla,p_work
学生,中国台湾,合作研究,费用自理,良好,建筑学院
院长,中国台湾,国际会议,"学校经费, 学院经费",优秀,法学院
院长,中国台湾,国际会议,"学校经费, 学院经费",良好,法学院
学生,美国,访问考察,费用自理,良好,外国语学院
学生,中国台湾,留学进修,费用自理,一般,航天学院
教师,美国,国际会议,"学校经费, 科研经费",良好,航天学院
教师,加拿大,合作研究,"学校经费, 学院经费",良好,建筑学院
教授,韩国,学术会议,科研经费,良好,计算机科学与技术学院
副教授,韩国,学术会议,科研经费,优秀,计算机科学与技术学院
教师,韩国,学术会议,科研经费,良好,计算机科学与技术学院
教师,,,,良好,航天学院
教师,,,,良好,航天学院
教师,,,,良好,航天学院
,,,,良好,航天学院
,,,,良好,航天学院
教师,,,,良好,航天学院
,,,,良好,航天学院
教师,,,,良好,航天学院
教师,美国,学术会议,科研经费,良好,电气工程及自动化学院
副教授,英国,学术交流,科研经费,优秀,计算机科学与技术学院
教授,意大利,学术会议,学校经费,良好,土木工程学院
,英国,合作研究,,优秀,计算机科学与技术学院
教师,德国,学术会议,学校经费,优秀,航天学院
教授,德国,学术会议,学校经费,优秀,化工学院
教师,美国,学术会议,科研经费,一般,建筑学院
教师,日本,访问考察,科研经费,优秀,电气工程及自动化学院
教授,日本,访问考察,科研经费,优秀,电气工程及自动化学院
教师,日本,访问考察,科研经费,优秀,电气工程及自动化学院
教授,日本,访问考察,科研经费,优秀,电气工程及自动化学院
教授,日本,访问考察,科研经费,优秀,电气工程及自动化学院
教师,日本,访问考察,科研经费,优秀,电气工程及自动化学院
教师,日本,访问考察,科研经费,优秀,电气工程及自动化学院
教授,日本,访问考察,科研经费,优秀,电气工程及自动化学院
,美国,学术会议,学校经费,优秀,建筑学院
教授,澳大利亚,学术会议,学校经费,优秀,校本部机关
教师,美国,学术会议,学校经费,优秀,建筑学院
教师,波兰,学术会议,科研经费,良好,基础与交叉科学研究院
副教授,越南,学术会议,学校经费,优秀,经济与管理学院
副教授,法国,学术会议,科研经费,优秀,材料科学与工程学院
教师,美国,学术会议,学校经费,良好,交通科学与工程学院
教师,韩国,学术会议,科研经费,良好,媒体技术与艺术系
教师,韩国,学术会议,科研经费,良好,计算机科学与技术学院
教师,韩国,学术会议,,良好,媒体技术与艺术系
副教授,中国香港,学术会议,科研经费,优秀,机电工程学院
副教授,中国香港,学术会议,科研经费,良好,机电工程学院
教师,韩国,学术会议,科研经费,良好,媒体技术与艺术系
教师,韩国,学术会议,科研经费,良好,计算机科学与技术学院
教师,韩国,学术会议,科研经费,良好,计算机科学与技术学院
教师,韩国,学术会议,科研经费,良好,计算机科学与技术学院
教师,英国,合作研究,科研经费,优秀,材料科学与工程学院
教师,意大利,学术会议,科研经费,良好,机电工程学院
,德国,学术交流,,良好,理学院
教师,德国,学术交流,境外邀请方,良好,理学院
教师,阿尔及利亚,访问考察,学校经费,优秀,校本部机关
教师,加拿大，巴西,访问考察,科研经费,一般,航天学院
,加拿大，巴西,访问考察,,一般,航天学院
,美国,学术会议,,,
教师,美国,学术会议,学校经费,优秀,土木工程学院
,德国,学术会议,科研经费,良好,理学院
教师,法国,学术会议,学校经费,优秀,航天学院
教师,法国,学术会议,学校经费,优秀,航天学院
,美国,学术交流,,良好,计算机科学与技术学院
教师,美国,学术会议,科研经费,良好,电气工程及自动化学院
副教授,美国,学术会议,科研经费,优秀,电气工程及自动化学院
,,,,良好,航天学院
,日本,学术会议,学校经费,良好,土木工程学院
教授,美国,学术会议,科研经费,良好,校本部机关
教授,澳大利亚,学术会议,学校经费,良好,电子与信息工程学院
教授,墨西哥,学术会议,科研经费,优秀,航天学院
教授,墨西哥,学术会议,科研经费,优秀,航天学院
教师,韩国,学术会议,科研经费,优秀,航天学院
教师,新加坡,学术会议,学校经费,优秀,电气工程及自动化学院
,韩国,访问考察,,优秀,航天学院
教师,美国,学术会议,科研经费,良好,计算机科学与技术学院
教师,美国,学术会议,科研经费,良好,计算机科学与技术学院
教师,德国,访问考察,境外邀请方,良好,能源科学与工程学院
教师,德国,访问考察,境外邀请方,良好,机电工程学院
教授,日本,学术交流,学校经费,优秀,土木工程学院
,英国,学术交流,科研经费,优秀,计算机科学与技术学院
,英国,学术交流,科研经费,优秀,计算机科学与技术学院
教师,法国,访问考察,境外邀请方,优秀,能源科学与工程学院
教师,法国,访问考察,境外邀请方,一般,能源科学与工程学院
教师,法国,访问考察,境外邀请方,优秀,校本部机关
教师,法国,访问考察,境外邀请方,初级,校本部机关
,美国,学术会议,科研经费,良好,校本部机关
,法国,访问考察,,一般,能源科学与工程学院
教师,日本,学术会议,学校经费,优秀,材料科学与工程学院
,法国,访问考察,,优秀,校本部机关
,法国,访问考察,,一般,能源科学与工程学院
教师,韩国,学术会议,学校经费,优秀,市政环境工程学院
院长,加拿大,访问考察,学校经费,优秀,校本部机关
院长,加拿大,访问考察,学校经费,优秀,媒体技术与艺术系
院长,加拿大,访问考察,学校经费,优秀,校本部机关
院长,加拿大,访问考察,学校经费,优秀,理学院
教授,加拿大,访问考察,学校经费,优秀,外国语学院
,澳大利亚,访问考察,,良好,校本部机关
教师,希腊,学术会议,学校经费,良好,基础与交叉科学研究院
,希腊,学术会议,学校经费,优秀,校本部机关
教师,阿曼,访问考察,学校经费,良好,航天学院
