,哈尔滨工业大学,清华大学,中国科技大学,西安交通大学,浙江大学,复旦大学,南京大学,北京大学,上海交通大学
2012/2/12,7,73,22,0,52,70,74,93,23
2012/2/19,7,73,17,2,60,71,55,90,27
2012/2/26,6,75,30,4,62,62,62,97,24
2012/3/4,12,86,30,5,45,73,60,87,27
2012/3/11,9,84,24,5,53,59,62,90,25
2012/3/18,9,68,24,3,55,61,63,86,23
2012/3/25,7,86,24,5,56,56,61,95,17
2012/4/1,8,70,25,4,52,46,62,83,18
2012/4/8,12,70,17,4,57,48,62,84,21
2012/4/15,10,77,19,2,55,61,56,72,16
2012/4/22,12,62,20,3,54,52,61,89,24
2012/4/29,11,81,14,2,57,51,62,80,12
2012/5/6,8,71,17,5,56,58,50,75,23
2012/5/13,12,61,20,5,57,51,69,82,17
2012/5/20,8,60,18,5,66,54,70,82,15
2012/5/27,11,79,21,4,59,55,58,110,18
2012/6/3,11,67,20,5,63,45,54,78,26
2012/6/10,12,60,17,5,47,50,51,72,21
2012/6/17,9,60,24,2,48,48,60,69,14
2012/6/24,7,55,20,2,61,53,53,83,18
2012/7/1,11,71,24,2,54,50,53,66,15
2012/7/8,8,58,25,4,52,69,49,81,16
2012/7/15,4,65,15,2,53,44,45,60,19
2012/7/22,8,57,22,2,48,54,58,73,23
2012/7/29,8,58,10,5,61,39,56,63,21
2012/8/5,11,63,28,5,54,46,62,80,14
2012/8/12,9,78,23,5,44,51,55,73,75
2012/8/19,8,62,24,5,57,54,52,75,30
2012/8/26,7,53,21,3,41,60,56,69,20
2012/9/2,7,69,18,4,55,64,69,88,19
2012/9/9,5,75,27,5,54,47,53,84,22
2012/9/16,11,76,19,2,52,62,47,88,19
2012/9/23,11,62,24,5,42,48,46,67,17
2012/9/30,5,50,18,2,44,50,43,74,21
2012/10/7,9,72,18,3,52,63,54,99,24
2012/10/14,7,60,23,4,58,37,48,57,19
2012/10/21,9,57,13,2,44,48,52,73,16
2012/10/28,10,69,15,2,45,64,47,84,20
2012/11/4,8,64,19,4,44,43,33,70,19
2012/11/11,9,55,21,4,34,51,45,69,11
2012/11/18,7,49,12,4,51,42,34,71,16
2012/11/25,8,69,13,4,56,54,40,72,19
2012/12/2,11,59,13,4,46,45,40,66,22
2012/12/9,8,66,21,2,47,51,38,66,13
2012/12/16,11,52,18,4,38,46,37,58,13
2012/12/23,6,39,13,2,37,29,30,68,13
2012/12/30,8,54,22,2,35,41,46,67,17
2013/1/6,8,54,17,2,36,53,42,75,29
2013/1/13,8,61,21,2,44,47,38,66,21
2013/1/20,7,62,19,4,54,55,34,61,18
2013/1/27,6,53,21,2,42,56,47,100,22
2013/2/3,5,46,11,3,60,39,45,52,20
2013/2/10,7,67,18,2,35,48,33,77,11
2013/2/17,13,60,31,2,60,62,44,68,24
2013/2/24,12,65,26,2,48,55,49,84,22
2013/3/3,18,69,20,2,52,54,45,89,28
2013/3/10,14,65,19,2,50,54,46,86,21
2013/3/17,8,71,23,2,61,52,41,69,18
2013/3/24,7,57,33,2,70,55,45,90,13
2013/3/31,8,65,21,2,55,48,57,82,19
2013/4/7,12,64,21,3,52,51,64,69,20
2013/4/14,10,68,18,5,50,73,47,77,14
2013/4/21,9,100,23,2,52,64,46,90,16
2013/4/28,9,72,23,4,54,50,48,74,21
2013/5/5,12,75,19,4,53,59,50,79,20
2013/5/12,11,68,22,2,60,50,47,77,22
2013/5/19,15,62,20,2,63,50,40,66,13
2013/5/26,8,65,14,3,58,56,56,67,16
2013/6/2,7,69,18,3,64,59,42,58,10
2013/6/9,10,63,16,2,57,53,48,63,20
2013/6/16,9,53,27,2,39,53,63,66,17
2013/6/23,8,93,27,2,60,47,46,77,19
2013/6/30,7,62,20,2,47,42,48,64,18
2013/7/7,5,70,21,4,44,39,49,59,15
