,Tsinghua University,Massachusetts Institute of Technology,Stanford University,Harvard University,University of Cambridge,California Institute of Technology,University of Oxford,University College London,Imperial College London
2012/2/12,2,9,41,63,19,20,16,15,11
2012/2/19,2,6,44,62,21,18,17,17,11
2012/2/26,2,6,43,61,20,19,19,17,11
2012/3/4,3,7,43,60,19,24,22,23,15
2012/3/11,2,7,44,62,19,19,16,14,11
2012/3/18,2,7,44,60,19,21,21,19,13
2012/3/25,3,6,51,61,17,23,22,20,16
2012/4/1,2,6,46,58,17,20,16,15,10
2012/4/8,2,5,41,57,16,19,15,14,9
2012/4/15,2,5,43,56,19,19,17,15,11
2012/4/22,2,6,46,59,18,23,19,17,11
2012/4/29,2,5,44,59,17,15,14,13,8
2012/5/6,2,5,42,60,16,16,15,15,10
2012/5/13,2,5,41,61,17,20,19,18,11
2012/5/20,2,5,41,60,17,24,19,20,12
2012/5/27,2,5,40,53,18,13,14,12,8
2012/6/3,2,5,36,56,17,18,17,16,10
2012/6/10,2,5,39,51,19,22,22,21,13
2012/6/17,2,5,41,53,18,18,17,17,11
2012/6/24,2,5,41,53,17,22,23,20,14
2012/7/1,2,5,38,51,17,14,15,15,11
2012/7/8,2,4,43,52,19,22,19,21,14
2012/7/15,2,6,41,55,16,20,19,18,11
2012/7/22,2,5,40,52,18,23,20,19,13
2012/7/29,2,5,41,54,16,19,19,20,12
2012/8/5,2,5,39,51,17,28,16,17,11
2012/8/12,2,6,45,58,20,18,16,19,11
2012/8/19,2,5,43,59,21,19,21,20,13
2012/8/26,2,6,48,64,19,27,20,23,14
2012/9/2,2,5,47,61,22,20,21,21,15
2012/9/9,2,8,50,63,22,17,19,19,13
2012/9/16,2,7,55,63,23,19,20,20,14
2012/9/23,2,6,50,62,21,22,21,23,15
2012/9/30,2,6,47,60,21,35,34,30,19
2012/10/7,3,5,50,58,22,29,29,28,19
2012/10/14,2,7,46,60,20,25,25,23,15
2012/10/21,2,6,43,58,19,25,23,20,15
2012/10/28,2,6,42,59,17,21,19,17,13
2012/11/4,2,6,42,55,18,20,19,17,13
2012/11/11,2,5,43,56,17,24,22,21,14
2012/11/18,1,5,45,51,17,14,13,12,8
2012/11/25,2,6,50,58,19,22,19,17,11
2012/12/2,2,5,42,55,17,27,21,18,12
2012/12/9,2,5,38,55,16,25,17,15,11
2012/12/16,2,4,36,46,13,25,19,16,11
2012/12/23,1,4,33,44,12,16,11,11,7
2012/12/30,2,5,70,53,17,25,19,18,11
2013/1/6,2,5,40,54,19,26,23,22,14
2013/1/13,2,6,41,52,15,22,19,18,12
2013/1/20,2,6,37,52,18,20,18,18,12
2013/1/27,2,6,40,56,17,25,21,19,14
2013/2/3,2,6,39,56,19,33,26,25,16
2013/2/10,2,5,39,54,16,20,17,17,12
2013/2/17,2,6,39,56,18,24,21,19,12
2013/2/24,2,5,39,54,16,20,17,15,11
2013/3/3,2,6,41,54,17,21,19,17,13
2013/3/10,2,6,39,54,16,23,17,17,12
2013/3/17,2,6,44,63,17,18,16,14,10
2013/3/24,2,6,48,61,16,23,20,18,12
2013/3/31,2,6,42,54,17,22,16,14,10
2013/4/7,2,6,39,56,16,22,18,14,10
2013/4/14,2,15,37,68,16,21,17,15,12
2013/4/21,3,7,38,55,16,18,16,15,11
2013/4/28,3,5,39,55,17,24,21,19,16
2013/5/5,2,6,38,51,14,15,14,13,10
2013/5/12,2,6,37,50,15,18,17,14,11
2013/5/19,2,6,36,48,15,18,16,15,10
2013/5/26,2,6,37,52,15,17,15,15,11
2013/6/2,2,6,37,48,15,18,16,14,12
2013/6/9,2,6,36,47,15,17,17,17,13
2013/6/16,2,6,38,49,15,19,19,19,16
2013/6/23,3,6,40,50,16,18,17,17,15
2013/6/30,2,5,34,47,17,15,15,15,14
2013/7/7,2,5,41,49,17,15,14,14,12
2013/7/14,2,6,38,47,16,20,20,17,15
2013/7/21,2,6,43,47,18,17,16,15,13
2013/7/28,2,6,42,48,15,23,22,20,18
2013/8/4,2,6,42,49,14,17,16,13,11
2013/8/11,2,6,49,51,19,17,19,19,15
2013/8/18,2,6,46,54,17,17,17,17,14
2013/8/25,2,6,45,53,19,17,18,18,15
2013/9/1,2,6,44,55,18,17,19,18,15
2013/9/8,2,9,51,57,20,18,21,20,16
2013/9/15,2,8,52,58,18,16,18,17,13
2013/9/22,2,6,50,58,17,23,24,22,21
2013/9/29,2,6,48,56,19,19,16,15,14
2013/10/6,2,6,55,58,19,21,21,19,16
2013/10/13,2,6,50,58,19,21,20,17,15
2013/10/20,2,6,45,55,18,22,18,16,15
2013/10/27,2,6,47,55,17,21,20,14,13
2013/11/3,2,5,67,56,16,19,19,16,14
2013/11/10,2,5,48,56,18,22,23,19,17
2013/11/17,2,5,54,58,16,23,22,19,17
2013/11/24,2,4,41,51,16,16,17,15,13
2013/12/1,1,5,48,51,17,12,10,9,7
2013/12/8,2,4,48,54,15,24,20,16,15
2013/12/15,2,4,42,68,13,18,15,13,11
2013/12/22,2,4,35,43,11,18,15,12,11
2013/12/29,2,5,100,47,15,21,18,15,13
2014/1/5,2,5,43,54,19,20,19,17,14
2014/1/12,2,5,44,53,18,20,18,17,14
2014/1/19,2,5,47,55,17,19,18,15,13
2014/1/26,2,4,46,55,17,20,18,17,14
2014/2/2,2,4,41,53,16,15,15,13,12
2014/2/9,2,5,41,50,16,19,17,15,13
2014/2/16,2,4,40,51,15,14,12,11,10
2014/2/23,2,5,43,54,16,18,18,15,14
2014/3/2,2,4,41,50,15,17,15,13,11
2014/3/9,2,5,41,51,15,18,15,13,12
2014/3/16,3,4,48,59,15,27,23,19,17
2014/3/23,2,5,66,59,15,33,20,17,14
2014/3/30,1,4,44,55,15,14,10,9,7
2014/4/6,2,4,44,53,15,18,17,13,12
2014/4/13,2,4,40,52,13,22,18,14,13
2014/4/20,2,5,42,53,15,21,18,16,14
2014/4/27,2,4,42,53,13,20,19,15,14
2014/5/4,2,4,41,51,14,21,19,16,14
2014/5/11,2,4,39,55,15,20,19,16,13
2014/5/18,2,5,39,51,14,20,18,15,13
2014/5/25,2,4,38,51,13,17,18,15,13
2014/6/1,2,4,39,47,14,20,19,17,13
2014/6/8,2,4,38,43,14,18,18,17,13
2014/6/15,1,4,38,42,13,10,12,10,9
2014/6/22,2,4,37,44,14,17,19,17,16
2014/6/29,2,3,32,40,14,15,18,17,15
2014/7/6,2,4,39,46,15,17,18,16,14
2014/7/13,1,4,37,47,15,11,11,10,8
2014/7/20,1,4,38,45,14,10,11,9,8
